# DCT3 broker / MDI trace-event names — NHM-5 (3310 family)
#
# Maps a 16-bit DCT3 trace event-id (the value the firmware hands BROKER_ROUTER /
# BROKER_DELIVER) to its functional name, e.g.  1802  MDI:m2d/CHANNEL_CONFIGURE.
# Consumed by tools/trace_names.h (BROKERLOG) — native tooling only.
#
# PROVENANCE / LICENSE: these are FACTS — the firmware's own Nokia subsystem and
# GSM/protocol message labels. They are cross-referenced against the public
# gammu/dct3trac NHM-5 dictionary (GPLv2, github.com/gammu/gammu), but ONLY the
# bare id->name mapping is transcribed and normalized here; gammu's file text,
# structure, category banners, module/offset hints and per-index annotations are
# NOT reproduced. A list of short functional names keyed by id is not copyrightable
# expression (cf. Feist v. Rural), so this file carries no GPL obligation. Where our
# own RE has independently established a name, ours takes precedence.
#
# Regenerate:  tools/symbols/gen_trace_names.py [INPUT] [OUTPUT]
# Format:  <id:4-hex> <space> <CATEGORY:sub/NAME>   (banners / comments start non-hex)
0900 CS:err/INVALID_PRIMITIVE
480B L1:NMEAS_info/M28_SYNC_CARRIER_SELECTED
480C L1:NMEAS_info/M29_SYNC_CARRIER_SELECTED
480D L1:NMEAS_info/M29_NO_SYNC_NEIGH_FOUND
480E L1:NMEAS_info/M2_PSW_RESULT_RECEIVED
480F L1:NMEAS_info/M30_PSW_CARRIER_SELECTED
4810 L1:NMEAS_info/M30_NO_PSW_NEIGH_FOUND
4811 L1:NMEAS_info/M10_SYNC_RECEIVED
4812 L1:NMEAS_info/M10_SYNC_RERECEIVED
4813 L1:NMEAS_info/M10_UNKNOWN_BSIC
4814 L1:NMEAS_info/M10_UNPERMITTED_PLMN
4815 L1:NMEAS_info/M31_SYNC_REREC_SELECTED
4816 L1:NMEAS_info/M31_NO_SYNC_REREC_SELECT
4817 L1:NMEAS_info/M32_SYSPAR_CARRIER_SELECT
4818 L1:NMEAS_info/M32_SYS_MEAS_TYPE_NOT_FOUN
4A00 SSCL:input/MM<-:SSCL_BEGIN_REQ
4A01 SSCL:input/MM<-:SSCL_END_REQ
4A02 SSCL:input/MM<-:FACILITY_IND
4A03 SSCL:input/MM<-:SSCL_FACILITY_REQ
4A04 SSCL:input/NO_EVENT
4A05 SSCL:input/MM<-:SSCL_PARA_REL_COM
4A06 SSCL:input/RELEASE_COMPLETE_IND
4A07 SSCL:input/MM<-:SSCL_PDU_ERROR_IND
4A08 SSCL:input/MM<-:REGISTER_IND
4A09 SSCL:input/MM<-:SS_EST_IND
4A0A SSCL:input/MM<-:SS_EST_CNF
4A0B SSCL:input/MM<-:SS_REL_IND
4A0C SSCL:input/MM<-:SS_ERROR_IND
4A0D SSCL:input/MM<-:SS_DATA_IND
4A0E SSCL:input/UNKNOWN_SSCL_INPUT_PRIMITIVE
4B00 CS:func/DTMF_START
4B01 CS:func/DTMF_STOP
4B02 CS:func/DTMF_DIGIT_START
4B03 CS:func/DTMF_DIGIT_STOP
4B04 CS:func/DATA_IF_ACTIVATE
4B05 CS:func/DATA_IF_DEACTIVATE
4B06 CS:func/SPEECH_BC_DEFAULT_SET
4B07 CS:func/DATA_BC_DEFAULT_SET
4B08 CS:func/SIM_INIT_STATUS
4B09 CS:func/SIM_SRES_KC_UPDATE
4B0A CS:func/FACILITY_RECEIVED
4B0B CS:func/CURRENT_BC_READ
4B0C CS:func/CALLING_PARTY_NUMBER_RECEIVED
4B0D CS:func/CALLING_PARTY_NUMBER_READ
4B0E CS:func/MS_PAR_READ_NEIGH_BCCH_LIST
4B0F CS:func/CCM_NEW_TRANS_ACT_ID_IN_USE
4B10 CS:func/CCM_MO_CALL_ESTAB_CHECK
4B11 CS:func/CCM_MO_CALL_ESTAB_CHECK_RETURN
4B12 CS:func/MPARTY_HOLD
4B13 CS:func/MPARTY_RETRIEVE
4B14 CS:func/MPARTY_SWAP
4B15 CS:func/MPARTY_SPLIT_CNF
4B16 CS:func/MPARTY_BUILD_CNF
4B17 CS:func/MPARTY_HOLD_CNF
4B18 CS:func/MPARTY_RETRIEVE_CNF
4B19 CS:func/FACILITY_OPER_FAIL_CHECK
4B1A CS:func/CALL_TRANSFER
4B1B CS:func/MS_PAR_WRITE_NEIGH_BCCH_LIST
4B1C CS:func/CALL_TRANSFER_CNF
4B1D CS:func/MM_PAGING_ALLOWED
4B1E CS:func/L1_INFO_READ_CA_VALID
4B1F CS:func/MS_PAR_SET_LAI_LISTS_IGNORE
4B20 CS:func/CS_ICM_MO_ACTIVATE
4B21 CS:func/CS_FCF_DUMMY_0_1
4B22 CS:func/CS_FCN_DUMMY_0_2
4B23 CS:func/CS_FCN_DUMMY_0_3
4B24 CS:func/CS_FCN_DUMMY_0_4
4B25 CS:func/CS_FCN_DUMMY_0_5
4B26 CS:func/CS_FCN_DUMMY_0_6
4B27 CS:func/CS_FCN_DUMMY_0_7
4B28 CS:func/CS_FCN_DUMMY_0_8
4B29 CS:func/CS_FCN_DUMMY_0_9
4B2A CS:func/
4B2B CS:func/CS_CALL_HOLD
4B2C CS:func/CS_CALL_SWAP
4B2D CS:func/SEND_AOC_ACKNOWLEDGE
4B2E CS:func/CS_CALL_ANSWER
4B2F CS:func/CS_BUILD_CONFERENCE
4B30 CS:func/CS_SPLIT_CONFERENCE
4B31 CS:func/CS_UPL_CALL_TERMINATE_SIF
4B32 CS:func/CS_CALL_TERMINATE
4B33 CS:func/CS_FCN_DUMMY_1_1
4B34 CS:func/CS_FCN_DUMMY_1_2
4B35 CS:func/CS_FCN_DUMMY_1_3
4B36 CS:func/CS_FCN_DUMMY_1_4
4B37 CS:func/CS_FCN_DUMMY_1_5
4B38 CS:func/CS_FCN_DUMMY_1_6
4B39 CS:func/CS_FCN_DUMMY_1_7
4B3A CS:func/CS_FCN_DUMMY_1_8
4B3B CS:func/CS_FCN_DUMMY_1_9
4B3C CS:func/
4B3D CS:func/CS_CALL_RETRIEVE
4B3E CS:func/CS_CALL_RELEASE
4B3F CS:func/MS_PAR_WRITE_BCCH_LIST
4B40 CS:func/MS_PAR_WRITE_SELECTED_PLMN
4B41 CS:func/CS_CALL_CREATE
4B42 CS:func/CCM_CHECK_TCH_CH_MODE
4B43 CS:func/CS_TASK_INIT_COMPLETE
4B44 CS:func/CS_DEV_TASK_INIT_COMPLETED
4B45 CS:func/CCM_HSCSD_CALL_STATE_PARAMS
4C00 SIM_INFO:func/READ_SERV_TABLE
4C01 SIM_INFO:func/READ_ADM_DATA
4C02 SIM_INFO:func/READ_ID_DATA
4C03 SIM_INFO:func/READ_TMSI
4C04 SIM_INFO:func/WRITE_TMSI
4C05 SIM_INFO:func/READ_LAI
4C06 SIM_INFO:func/WRITE_LAI
4C07 SIM_INFO:func/READ_CIPH_KEY
4C08 SIM_INFO:func/WRITE_CIPH_KEY
4C09 SIM_INFO:func/READ_CIPH_KEY_SNR
4C0A SIM_INFO:func/WRITE_CIPH_KEY_SNR
4C0B SIM_INFO:func/READ_T3212
4C0C SIM_INFO:func/WRITE_T3212
4C0D SIM_INFO:func/READ_BCCH_INFO_LIST
4C0E SIM_INFO:func/WRITE_BCCH_INFO_LIST
4C0F SIM_INFO:func/SIM_INFO_DUMMY_0_0
4C10 SIM_INFO:func/ADD_FORBIDDEN_PLMN
4C11 SIM_INFO:func/ERASE_FORBIDDEN_PLMN
4C12 SIM_INFO:func/CHECK_FORBIDDEN_PLMN
4C13 SIM_INFO:func/READ_LOC_UPD_STATUS
4C14 SIM_INFO:func/WRITE_LOC_UPD_STATUS
4C15 SIM_INFO:func/FIRST_PLMN_SELECTOR
4C16 SIM_INFO:func/NEXT_PLMN_SELECTOR
4C17 SIM_INFO:func/WRITE_PLMN_LIST
4C18 SIM_INFO:func/DISABLE_IMSI
4C19 SIM_INFO:func/READ_HPLMN
4C1A SIM_INFO:func/SIM_INFO_AVAILABLE
4C1B SIM_INFO:func/READ_MOBILE_IDENTITY
4C1C SIM_INFO:func/CLEAR_SIM_INFO
4C1D SIM_INFO:func/READ_PLMN_LIST
4C1E SIM_INFO:func/READ_BCCH_BIT_MAP
4C1F SIM_INFO:func/PIN_STATUS
4C20 SIM_INFO:func/WRITE_LANGUAGE_PREF
4C21 SIM_INFO:func/READ_LANGUAGE_PREF
4C22 SIM_INFO:func/WRITE_SMS_STATUS
4C23 SIM_INFO:func/READ_SMS_STATUS
4C24 SIM_INFO:func/READ_DATA_SIZES
4C25 SIM_INFO:func/READ_FIRST_MSISDN_NBR
4C26 SIM_INFO:func/PIN2_STATUS
4C27 SIM_INFO:func/FIXDIAL_STATUS
4C28 SIM_INFO:func/READ_HPLMN_SEARCH
4C29 SIM_INFO:func/READ_SERV_CONTROL_TBL
4C2A SIM_INFO:func/WRITE_DYN_FLAGS
4C2B SIM_INFO:func/READ_DYN_FLAGS
4C2C SIM_INFO:func/WRITE_VOICE_MSG_FLAGS
4C2D SIM_INFO:func/READ_VOICE_MSG_FLAGS
4C2E SIM_INFO:func/WRITE_CALL_FORWARD_FLAGS
4C2F SIM_INFO:func/READ_CALL_FORWARD_FLAGS
4C30 SIM_INFO:func/READ_WELCOME_MESSAGE
4C31 SIM_INFO:func/READ_OPERATOR_NAME
4C32 SIM_INFO:func/WRITE_DYN2_FLAGS
4C33 SIM_INFO:func/READ_DYN2_FLAGS
4C34 SIM_INFO:func/READ_PUCT
4C35 SIM_INFO:func/READ_CPHS
4C36 SIM_INFO:func/READ_CELL_BC_MSG_ID
4C37 SIM_INFO:func/WRITE_CELL_BC_MSG_ID
4C38 SIM_INFO:func/FIRST_FREE_SMS_LOC
4C39 SIM_INFO:func/READ_LOCAL_CALL_TEXT
4C3A SIM_INFO:func/READ_TARIFF_PACKAGE
4C3B SIM_INFO:func/READ_HOME_ZONE_COORD
4C3C SIM_INFO:func/READ_AOC_STATUS
4C3D SIM_INFO:func/READ_FORB_PLMN_LIST
4C3E SIM_INFO:func/READ_SIM_LOCK_INFO
4C3F SIM_INFO:func/BCCH_LIST_NOT_VALID
4C40 SIM_INFO:func/READ_SERV_PROV_NAME
4C41 SIM_INFO:func/READ_DUALMODE_NAM_DATA
4C42 SIM_INFO:func/CHECK_EMERG_CALL_CODES
4C43 SIM_INFO:func/READ_EMERG_CALL_CODES
4C44 SIM_INFO:func/READ_FDN_INFO
4C45 SIM_INFO:func/READ_ADN_INFO
4C46 SIM_INFO:func/READ_DUALMODE_SID_LIST
4C47 SIM_INFO:func/READ_DUALMODE_NET_FLAG
4C48 SIM_INFO:func/READ_DUALMODE_FAC_CODE
4C49 SIM_INFO:func/READ_DUALMODE_SYS_PRIORITY_LIST
4C4A SIM_INFO:func/CHECK_IF_DUALMODE_SIM
4C4B SIM_INFO:func/SIM_INFO_DUMMY_0_1
4C4C SIM_INFO:func/SIM_INFO_DUMMY_0_2
4C4D SIM_INFO:func/SIM_INFO_DUMMY_0_3
4C4E SIM_INFO:func/SIM_INFO_DUMMY_0_4
4C4F SIM_INFO:func/SIM_INFO_DUMMY_0_5
4C50 SIM_INFO:func/SIM_INFO_DUMMY_0_6
4C51 SIM_INFO:func/SIM_INFO_DUMMY_0_7
4C52 SIM_INFO:func/SIM_INFO_DUMMY_0_8
4C53 SIM_INFO:func/SIM_INFO_DUMMY_0_9
4C54 SIM_INFO:func/SIM_INFO_DUMMY_0_10
4C55 SIM_INFO:func/SIM_INFO_DUMMY_0_11
4C56 SIM_INFO:func/SIM_INFO_DUMMY_0_12
4C57 SIM_INFO:func/
4C58 SIM_INFO:func/CHECK_HOME_ZONE
4C59 SIM_INFO:func/SIM_INFO_DUMMY_1_1
4C5A SIM_INFO:func/SIM_INFO_DUMMY_1_2
4C5B SIM_INFO:func/SIM_INFO_DUMMY_1_3
4C5C SIM_INFO:func/SIM_INFO_DUMMY_1_4
4C5D SIM_INFO:func/SIM_INFO_DUMMY_1_5
4C5E SIM_INFO:func/SIM_INFO_DUMMY_1_6
4C5F SIM_INFO:func/SIM_INFO_DUMMY_1_7
4C60 SIM_INFO:func/SIM_INFO_DUMMY_1_8
4C61 SIM_INFO:func/SIM_INFO_DUMMY_1_9
4C62 SIM_INFO:func/SIM_INFO_DUMMY_1_10
4C63 SIM_INFO:func/
4C64 SIM_INFO:func/READ_ACM
4C65 SIM_INFO:func/READ_ACM_MAX_VALUE
4C66 SIM_INFO:func/READ_ACM_WARNING_LEVEL
4C67 SIM_INFO:func/READ_CSP
4C68 SIM_INFO:func/READ_ZONAL_IND_LABEL
4C69 SIM_INFO:func/READ_CARD_TYPE
4C6A SIM_INFO:func/WRITE_BCCH_DESCR
4C6B SIM_INFO:func/READ_IMSI
4C6C SIM_INFO:func/READ_ACCESS_CTRL
4C6D SIM_INFO:func/WRITE_DUALMODE_NAM
4C6E SIM_INFO:func/READ_SDN_INFO
5B00 EM_IF:func/INIT
5B01 EM_IF:func/CHARGER_CONNECTED
5B02 EM_IF:func/CHARGER_DISCONNECTED
5B03 EM_IF:func/CHARGER_VOL_LIMITATION_ON
5B04 EM_IF:func/CHARGER_VOL_LIMITATION_OFF
5B05 EM_IF:func/CHARGING_ENABLE
5B06 EM_IF:func/CHARGING_DISABLE
5B07 EM_IF:func/ACTING_DEAD
5B08 EM_IF:func/CALL_CONNECTED
5B09 EM_IF:func/CALL_DISCONNECTED
5B0A EM_IF:func/POWER_ON
5B0B EM_IF:func/
5B0C EM_IF:func/
5B0D EM_IF:func/CHARGER_TYPE_GET
5B0E EM_IF:func/CHARGER_CURRENT_GET
5B0F EM_IF:func/CHARGER_VOL_GET
5B10 EM_IF:func/CHARGE_STATUS_GET
5B11 EM_IF:func/BATTERY_TYPE_GET
5B12 EM_IF:func/BATTERY_SIZE_GET
5B13 EM_IF:func/BATTERY_TEMP_GET
5B14 EM_IF:func/BATTERY_VOL_GET
5B15 EM_IF:func/BATTERY_VOL_READ
5B16 EM_IF:func/BATTERY_VOL_READ_REQ
5B17 EM_IF:func/BATTERY_VOL_TX_READ
5B18 EM_IF:func/BATTERY_VOL_TX_READ_REQ
5B19 EM_IF:func/CHARGED_CAPACITY_GET
5C00 EM_INT:func/I_FAST_CHARGING
5C01 EM_INT:func/I_LI_BATTERY_CHARGING
5C02 EM_INT:func/I_COLD_CHARGING
5C03 EM_INT:func/I_MAINTENANCE_CHARGING
5C04 EM_INT:func/I_TX_ON_CHARGING
5C05 EM_INT:func/I_CHARGING_DISABLED
5C06 EM_INT:func/I_ONE_CELL_BROKEN
5C07 EM_INT:func/I_START_BATT_BAR_SCROLL_REQ
5C08 EM_INT:func/I_STOP_BATT_BAR_SCROLL_REQ
5C09 EM_INT:func/I_CHARGER_DISCONNECTED
5C0A EM_INT:func/I_CHARGER_CONNECTED
5C0B EM_INT:func/I_BATTERY_FULL
5C0C EM_INT:func/I_BATT_HOT
5C0D EM_INT:func/I_LI_BATT_PWM_OVER_LIMIT
5C0E EM_INT:func/I_LI_BATT_PWM_BELOW_LIMIT
5C0F EM_INT:func/E_CHARGER_CURRENT_FAIL
5C10 EM_INT:func/I_BATTERY_NOT_FULL
5C11 EM_INT:func/I_CHARGING_COMPLETED
5C12 EM_INT:func/E_CHARGER_VOLTAGE_FAIL
5C13 EM_INT:func/E_ILLEGAL_OPERATING_STATE
5C14 EM_INT:func/
5C15 EM_INT:func/
5C16 EM_INT:func/I_PWM_WRITE
5C17 EM_INT:func/I_CHARGE_CURRENT
5C18 EM_INT:func/I_CHARGER_CURRENT
5C19 EM_INT:func/I_CHARGER_TYPE
5C1A EM_INT:func/I_LI_BATT_EEPROM_DATA_CHECK
5C1B EM_INT:func/I_OPERATING_MODE
5C1C EM_INT:func/I_OPERATING_CURRENT
5E00 EM:volt/I_BATT_TEMP
5E01 EM:volt/I_BATT_SIZE
5E02 EM:volt/I_CHARGER_VOL_MAX
5E03 EM:volt/I_CHARGER_VOL_MIN
5E04 EM:volt/I_BATT_VOLTAGE
5E05 EM:volt/I_BATT_MEAN_VALUE
5E06 EM:volt/I_CHARGER_VOLTAGE
5E07 EM:volt/I_BFD_MEDIAN_VALUE
5E08 EM:volt/I_BFD_CHARGEAMOUNT
5E09 EM:volt/I_BFD_VOLDIFFTOMAX
5E0A EM:volt/I_BFD_VOLDROPCNT
5E0B EM:volt/I_BFD_TEMPERATURE
5E0C EM:volt/I_BFD_VOLTAGE
5E0D EM:volt/I_BFD_VOLDIFFTIME
5E0E EM:volt/I_BFD_AVERDIFF
5E0F EM:volt/I_BFD_DERIVCNT
5E10 EM:volt/I_BFD_FULL_BELIEF
5E11 EM:volt/I_CVC_BATT_VOL_DOWN
5E12 EM:volt/I_CVC_BATT_VOL_UP
5E13 EM:volt/I_CVC_BATT_VOL_AVER
5E14 EM:volt/I_CVC_BATT_VOL_ERROR
5E15 EM:volt/I_CVC_BATT_VOL_CHANGE
5E16 EM:volt/I_CVC_BATT_GOAL_VOL
5F00 EM:trans/TRANSITION
6000 EM_PSM/I_EM_PSM_TIME
6001 EM_PSM/I_EM_PSM_ITEM
6002 EM_PSM/I_EM_PSM_STATE
6003 EM_PSM/I_EM_PSM_MAX_ITEMS
6004 EM_PSM/I_EM_PSM_AVG_ITEMS
6005 EM_PSM/I_EM_PSM_CONSUMED
6006 EM_PSM/I_EM_PSM_AVG_CURRENT
6007 EM_PSM/I_EM_PSM_TMP_CURRENT
6200 LOC:timer/EVENT_HANDLE
6400 LOC_IF:func/MDI_MSG_RECEIVE
6401 LOC_IF:func/COUNTER_INCREMENT
6402 LOC_IF:func/COUNTER_READ
6403 LOC_IF:func/COUNTER_WRITE
6404 LOC_IF:func/DSP_INIT
6405 LOC_IF:func/SER_NUM_READ
6406 LOC_IF:func/SMS_DATA_DELETE_STATUS
6407 LOC_IF:func/PROD_INFO_READ
6408 LOC_IF:func/PROD_INFO_WRITE
6409 LOC_IF:func/SELF_TEST_RUN
640A LOC_IF:func/SELF_TEST_RESULT_GET
640B LOC_IF:func/SELF_TEST_PRESET_READ
640C LOC_IF:func/SELF_TEST_PRESET_WRITE
640D LOC_IF:func/SELF_TEST_IF_READ
640E LOC_IF:func/UI_TEST_CONTROL
640F LOC_IF:func/PROD_FAST_SERV_CH_READ
6410 LOC_IF:func/PROD_FAST_SERV_CH_WRITE
6411 LOC_IF:func/VERSION_READ
6412 LOC_IF:func/VERSION_WRITE
6413 LOC_IF:func/VERSION_MOVE
6414 LOC_IF:func/WARR_INFO_READ
6415 LOC_IF:func/WARR_INFO_WRITE
6416 LOC_IF:func/TRANSFER_START
6417 LOC_IF:func/SIM_LOC_CLOSE
6418 LOC_IF:func/SIM_LOC_OPEN
6419 LOC_IF:func/SIM_LOC_STATUS_GET
641A LOC_IF:func/SERIAL_NBR_READ
641B LOC_IF:func/SEC_CODE_CALC
641C LOC_IF:func/MASTER_CODE_CALC
641D LOC_IF:func/MASTER_CODE_CHECK
641E LOC_IF:func/IMEISV_READ
641F LOC_IF:func/SIM_STATUS
6420 LOC_IF:func/SMS_CLEAR
6421 LOC_IF:func/SCM_STORE_STATUS
6422 LOC_IF:func/SCM_READ_STATUS
6423 LOC_IF:func/KEY_PRESS
6424 LOC_IF:func/KEY_RELEASE
6425 LOC_IF:func/PP_INIT
6426 LOC_IF:func/MDI_MSG_RESEIVE
6427 LOC_IF:func/ADJ_DATA_READ
6428 LOC_IF:func/FACTORY_SET_STATUS
6429 LOC_IF:func/PP_READ
642A LOC_IF:func/PP_WRITE
6500 LOC_INT:func/TASK_INIT
6501 LOC_INT:func/MS_TEST_MODE
6502 LOC_INT:func/MCU_CMD_EXECUTE
6503 LOC_INT:func/DSP_CMD_EXECUTE
6504 LOC_INT:func/PHONE_MEMORY_HANDLE
6505 LOC_INT:func/PAGING_STATE_GET
6506 LOC_INT:func/RESP_MSG_SEND
6507 LOC_INT:func/ADDRESS_CHECK
6508 LOC_INT:func/INT_CHSUM_CALC
6509 LOC_INT:func/EEP_CHSUM_CALC
650A LOC_INT:func/ERROR_MSG_SEND
650B LOC_INT:func/RF_TEMP_READ
650C LOC_INT:func/AD_CONV_READ
650D LOC_INT:func/EEP_CHSUM_SAVE
650E LOC_INT:func/FACTORY_SET_LOC
650F LOC_INT:func/IMEI_TRANSPORT
6510 LOC_INT:func/EVENT_TRC_HANDLE
6511 LOC_INT:func/MDI_RESP_HANDLE
6512 LOC_INT:func/DSP_MSG_TO_MDI
6513 LOC_INT:func/REROUTE_MSG
6514 LOC_INT:func/USER_MEMORY_READ
6515 LOC_INT:func/USER_MEMORY_WRITE
6516 LOC_INT:func/VERSION_HANDLE
6517 LOC_INT:func/IMEI_WRITE
6518 LOC_INT:func/IMEI_READ
6519 LOC_INT:func/PROD_INFO_HANDLE
651A LOC_INT:func/WARR_INFO_HANDLE
651B LOC_INT:func/TX_CONTROL
651C LOC_INT:func/RX_CONTROL
651D LOC_INT:func/PWR_RAMP_SEND
651E LOC_INT:func/FACTORY_VALUES_SET
651F LOC_INT:func/CALL_HANDLE
6520 LOC_INT:func/FTD_READ
6521 LOC_INT:func/UI_TEST
6522 LOC_INT:func/ORIG_IMEI_READ
6523 LOC_INT:func/ORIG_IMEI_WRITE
6524 LOC_INT:func/ST_RESULTS_READ
6525 LOC_INT:func/ST_INFO_READ
6526 LOC_INT:func/ST_PRESET_HANDLE
6527 LOC_INT:func/UI_CODE_READ
6528 LOC_INT:func/UI_CODE_WRITE
6529 LOC_INT:func/COUNTER_HANDLE
652A LOC_INT:func/STARTUP_RESULT_GET
652B LOC_INT:func/Tx_IQ_Cal
652C LOC_INT:func/resp_msg_header_make
652D LOC_INT:func/warr_data_transfer_handle
652E LOC_INT:func/ui_settings_handle
652F LOC_INT:func/ui_setting_read
6530 LOC_INT:func/ui_setting_write
6531 LOC_INT:func/int_aud_loop_set
6532 LOC_INT:func/counter_amount_check
6533 LOC_INT:func/ad_scaled_value_read
6534 LOC_INT:func/pp_handle
6535 LOC_INT:func/tx_pwr_ramp_set
6536 LOC_INT:func/local_mode_start
6537 LOC_INT:func/nsps_read
6538 LOC_INT:func/nsps_write
6539 LOC_INT:func/graph_display_read
653A LOC_INT:func/graph_display_write
653B LOC_INT:func/plmn_name_handle
653C LOC_INT:func/charging_state
653D LOC_INT:func/cs_status_get
653E LOC_INT:func/buzzer_test
653F LOC_INT:func/ear_volume_sett
6540 LOC_INT:func/rtc_time_read
6541 LOC_INT:func/rtc_time_set
6542 LOC_INT:func/ir_test
6543 LOC_INT:func/pwm_write
6544 LOC_INT:func/operator_logo_read
6545 LOC_INT:func/operator_logo_write
6546 LOC_INT:func/ring_tone_read
6547 LOC_INT:func/ring_tone_write
6548 LOC_INT:func/tx_iq_set
6549 LOC_INT:func/sec_startup_msg_send
654A LOC_INT:func/sec_ms_id_store
654B LOC_INT:func/sec_ms_id_read
654C LOC_INT:func/sec_ser_num_prg
654D LOC_INT:func/sec_check_sum_calc
654E LOC_INT:func/imei_string_get
654F LOC_INT:func/sec_encrypted_siml_store
6550 LOC_INT:func/sec_siml_state_chg_send
6551 LOC_INT:func/sec_master_code_req
6552 LOC_INT:func/sec_master_code_resp
6553 LOC_INT:func/sim_lock_close_
6554 LOC_INT:func/sim_lock_open_
6555 LOC_INT:func/sim_lock_status_get
6556 LOC_INT:func/sim_lock_config_data_set
6557 LOC_INT:func/sim_lock_keypad_close_set
6558 LOC_INT:func/sim_lock_state_read
6559 LOC_INT:func/sim_lock_action_resp_send
6900 LOC_MDI:send/dsp_init
6901 LOC_MDI:send/task_init
6902 LOC_MDI:send/mdi_response_handle
6903 LOC_MDI:send/dsp_msg_to_mdi
6904 LOC_MDI:send/int_aud_loop_set
6905 LOC_MDI:send/reroute
6906 LOC_MDI:send/tx_power_ramp_send
6907 LOC_MDI:send/tx_control
6908 LOC_MDI:send/rx_control
6909 LOC_MDI:send/tx_pwr_ramp_set
690A LOC_MDI:send/local_mode_start
690B LOC_MDI:send/tx_iq_set
690C LOC_MDI:send/sec_startup_msg_send
690D LOC_MDI:send/sec_siml_state_chg_send
690E LOC_MDI:send/sec_master_code_req
6D00 DEV_IF:func/PWR_IF_POWER_ON
6D01 DEV_IF:func/PWR_IF_POWER_ON
6D02 DEV_IF:func/PWR_IF_POWER_OFF
6D03 DEV_IF:func/PWR_IF_UI_POWER_DOWN_READY
6D04 DEV_IF:func/PWR_IF_CS_POWER_DOWN_READY
6D05 DEV_IF:func/PWR_IF_EM_POWER_DOWN_READY
6D06 DEV_IF:func/PWR_IF_LOC_POWER_DOWN_READY
6D07 DEV_IF:func/PWR_IF_DEVTIME_POWER_DOWN_READY
6D08 DEV_IF:func/PWR_IF_SIM_POWER_DOWN_READY
6D09 DEV_IF:func/PWR_IF_CHARGER_CONNECTED
6D0A DEV_IF:func/PWR_IF_CHARGER_DISCONNECTED
6D0B DEV_IF:func/PWR_IF_CALL_CONN
6D0C DEV_IF:func/PWR_IF_CALL_DISCONN
6D0D DEV_IF:func/PWR_IF_CHARGING_COMPLETED
6D0E DEV_IF:func/PWR_IF_DISCHARGING_COMPLETED
6D0F DEV_IF:func/PWR_IF_SW_RESET
6D10 DEV_IF:func/PWR_IF_RESET_REASON_SET
6D11 DEV_IF:func/DISP_IF_REFRESH
6D12 DEV_IF:func/DISP_IF_IND_REFRESH
6D13 DEV_IF:func/DISP_IF_IND_ON
6D14 DEV_IF:func/DISP_IF_IND_OFF
6D15 DEV_IF:func/DISP_IF_IND_BLINK
6D16 DEV_IF:func/DISP_IF_CLEAR
6D17 DEV_IF:func/DISP_IF_BAR_SCROLL_START
6D18 DEV_IF:func/DISP_IF_BAR_SCROLL_STOP
6D19 DEV_IF:func/KBD_IF_KEY_CTRL_SET
6D1A DEV_IF:func/dev_time_set
6D1B DEV_IF:func/dev_time_get
6D1C DEV_IF:func/dev_time_alarm_set
6D1D DEV_IF:func/dev_time_alarm_get
6D1E DEV_IF:func/dev_time_alarm_set_off
6D1F DEV_IF:func/dev_time_rtc_on
6D20 DEV_IF:func/dev_time_rtc_off
6D21 DEV_IF:func/dev_time_notify_mode_set
6D22 DEV_IF:func/dev_time_notify_mode_get
6D23 DEV_IF:func/dev_time_update
6D24 DEV_IF:func/dev_time_alarm_update
6D25 DEV_IF:func/dev_time_rtc_status
6D26 DEV_IF:func/dev_time_full_days_in_secs
6D27 DEV_IF:func/dev_time_alarm_set_check
6D28 DEV_IF:func/dev_time_factory_set
6D29 DEV_IF:func/dev_time_calib_value_calc
6D2A DEV_IF:func/dev_time_date_set
6D2B DEV_IF:func/dev_disp_update
6D2C DEV_IF:func/dev_disp_indi_update
6D2D DEV_IF:func/dev_indicator_on
6D2E DEV_IF:func/dev_indicator_off
6D2F DEV_IF:func/dev_indicator_blink
6D30 DEV_IF:func/dev_disp_clear
6D31 DEV_IF:func/dev_grph_area_set
6D32 DEV_IF:func/dev_grph_font_info_get
6D33 DEV_IF:func/dev_grph_battery_bar_on
6D34 DEV_IF:func/dev_grph_battery_bar_off
6D35 DEV_IF:func/dev_grph_battery_bar_blink
6D36 DEV_IF:func/dev_grph_rf_bar_on
6D37 DEV_IF:func/dev_grph_rf_bar_off
6D38 DEV_IF:func/dev_grph_rf_bar_blink
6D39 DEV_IF:func/dev_grph_bitmap_display
6D3A DEV_IF:func/dev_grph_text_draw
6D3B DEV_IF:func/dev_grph_pixel_set
6D3C DEV_IF:func/dev_grph_line_draw
6D3D DEV_IF:func/dev_grph_battery_bar_type_set
6D3E DEV_IF:func/dev_grph_rf_bar_type_set
6D3F DEV_IF:func/dev_disp_blink_disable
6D40 DEV_IF:func/dev_disp_batt_bar_write
6D41 DEV_IF:func/dev_disp_rf_bar_write
6D42 DEV_IF:func/dev_disp_test_pattern_on
6D43 DEV_IF:func/dev_disp_test_pattern_off
6D44 DEV_IF:func/dev_indicator_state_get
6D45 DEV_IF:func/dev_disp_acting_dead_bar_set
6D46 DEV_IF:func/dev_disp_acting_dead_bar_clear
6D47 DEV_IF:func/dev_grph_rectangle_draw
